site,plot,subplot,treatment,spal,suaeda,salicornia,disp,iva,sppa,syte,atriplex,solidago,lina,bare,dead,wrack,forbs
12,1,14,cage control,14,0,0,-8,0,26,0,0,0,0,9,-39,-2,0
12,1,15,cage control,12,0,0.1,4,0,28,0,0,0,0,-2,-45,3,0
12,1,16,cage control,4,0,6,-4.5,0,11,0.5,0,-0.1,0,13,-27,-3,0.4
12,1,17,cage control,6,0,3,-6,0,15,0,0,0,0,11,-29,0,0
12,1,18,cage control,2,0,1.5,-5,0,18,0,0,0,0,11,-31,3.5,0
12,1,19,cage control,1,0,1.9,-4,0,16.9,0,0,0,0,19,-34,-1,0
12,1,20,cage control,0,0,0.9,-2,0,14,0,0,0,0,20,-36,3,0
12,3,1,cage control,5,0,25,3,0,1,0,0,0,0,-15,-20,1,0
12,3,2,cage control,10,0,5,19,-0.1,6,0,0,0,0,19,-59,0,0
12,3,3,cage control,12,0,0.1,19,0,19,0.1,0,0,0,-9,-47,6,0.1
12,3,4,cage control,6,0,-1,10,0,13,0,0,0,0,1,-32,3,0
12,3,5,cage control,-7,-0.1,-0.1,29,-2,5,0,-0.5,0,0,4,-28.5,0,-0.5
12,3,6,cage control,9,0,0,6,-17,21,0,0,0,0,3,-10,-12,0
12,3,7,cage control,-6,-0.1,0,-6,0,52,0,-0.1,0,0,-30,-9,-1,-0.1
12,3,8,cage control,7,0,2,-3,0,26,0,0,0,0,8,-5,-35,0
12,3,9,cage control,1,0,1.5,-8,-23,44.5,0,0,0,0,4,-10,-10,0
12,3,10,cage control,4,0,0,1,15,12,0,0,0,0,-17,-25,10,0
12,3,11,cage control,17,0,1,3,-12,17,0,0,0,0,-3,-15,-8,0
12,3,12,cage control,3,0,3,36,-8,15,0,0,0,0,-7,-48,6,0
12,3,13,cage control,22,0,0.5,-0.5,0,33,0,0,0,0,0,-58,3,0
12,3,14,cage control,28,0,3.9,14,0,27,0,0,0,0,-6,-67,0,0
12,3,15,cage control,13,0,0,24,0,5,0.1,0,0,0,-20,-25,3,0.1
12,3,16,cage control,8,0,-1,12.5,0,4,2.5,0,-1,0,-7,-20,2,1.5
12,3,17,cage control,0,0,8,4,0,13,4,0,-1,0,1,-30,1,3
12,3,18,cage control,17,0,12,8,0,4.9,3,0,-2,0,-18,-25,0,1
12,3,19,cage control,13,0,2,0,0,9.5,1,0,-0.5,0,-2,-20,-3,0.5
12,3,20,cage control,18,0,4,4,0,7.9,3,0,-0.1,0,-9,-25,-3,2.9
12,5,1,cage control,20,0,0,8,-0.1,5,0.1,0,0,0,19,-54,2,0.1
12,5,2,cage control,5,-0.1,0,20,-1,6,1.5,0,0,0,11.5,-45,2,1.5
12,5,3,cage control,15,-0.1,0,30,-7,6,0,0,0,0,-4,-40,0,0
12,5,4,cage control,25,3.9,1,9.5,-4.9,0.5,0,0,0,0,-15,-30,10,0
12,5,5,cage control,-3,3,-0.5,32,0,7,0,0.5,0,0,-23,-20,4,0.5
12,5,6,cage control,-3,1.9,-0.1,28,2,13,0,0,0,0,-27,-15,0,0
12,5,7,cage control,-2,1.5,-0.1,28,-1,6,0,0,0,0,-25.5,-14,7,0
12,5,8,cage control,-2,1.9,0,20,4,8,0,0,0,0,-20,-13,1,0
12,5,9,cage control,-3,3.4,0,13,0,14,0,0,0,0,-16.5,-15,4,0
12,5,10,cage control,0,0.9,0,19,0,7,0,0,0,0,-18,-13,4,0
12,5,11,cage control,0,3.5,-0.1,14,-1,6,0,0,0,0,-18.5,-11,7,0
12,5,12,cage control,0,1.9,0.9,32,-3,7,0,0,0,0,-29,-16,6,0
12,5,13,cage control,4,0.9,0,30,-2,9,0.1,0,0,0,-23,-21,2,0.1
12,5,14,cage control,-2,0,0.9,52,-3,2,3,0,0,0,-22,-34,3,3
12,5,15,cage control,6,0,-0.1,23,-0.1,6,0,0,-1,0,-19,-55,40,-1
12,5,16,cage control,17,2,-0.1,28,0,1,0,0,0,0,0,-55,7,0
12,5,17,cage control,30,-0.1,-0.1,4,0,0,0,0,0,0,3,-60,23,0
